문서 번호,답변 ID,답변,답변 날짜
476783039,4767830392,구청 잔디광장을 열린뜰광장이라고 합니다강동구청 정문 바로 앞에 있습니다강동구청서울특별시 강동구 성내로 25 강동구청,2024.10.18.
476783039,4767830393,구청 2청사 건물 앞에 있음강동구청서울특별시 강동구 성내로 25 강동구청잔디서울특별시 강동구 성내로 25 강동구청,2024.10.18.
476770849,4767708491,면에선 2금융권이 유리할 수 있습니다추가자금필요시 잔금날 신용대출 동시진행도가능합니다,2024.10.18.
476689485,4766894851, 남편도 젊은데 녹내장 진단받아서지인소개로 둔촌동역안과 혜민.안과병원 다니면서 치료중이에요병원 규모가 꽤 크고 녹내장 치료 경험도 많아서 환자분들이 많더라고요.저희 남편은 초기에 발견해서 약물치료 결과가 좋더라고요.최대한 빨리 검사받아보세요..,2024.10.16.
476610313,4766103131, 1등급 후반에서 2등급 중반은 되어야 인서울 대학교 진학 가능 합니다,2024.10.16.
476645613,4766456131,구 쪽은 싼곳은 없고 30분 거리면 중랑 광진구  쪽면목 용마산 중곡,2024.10.15.
476575257,4765752571,...,2024.10.13.
476575257,4765752572,하세요.강동구 생활 정보 카페입니다.많지 않습니다.,2024.10.14.
476361803,4763618031,하세요강동갈빗살소고기구이알림받기방문자 리뷰 326블로그 리뷰 47출발도착저장거리뷰공유홈소식메뉴리뷰사진정보다음주소서울 강동구 천호옛14길 3658천호역 6번 출구에서 398m미터영업시간영업 중23:00에 영업 종료23시 0분에 영업 종료펼쳐보기전화번호0507-1475-8991,2024.10.08.
476226236,4762262361,동역수학학원 많이 중2 알아보는데대부분 중3 고덕으로 많이 다녀요.집 근처로 알아보면 상일동역고등수학학원아래 두곳을 참고해 보셔도 중1 좋을 듯 해요.상일동역부근수학학원 여기는 개개인의 맞춰서진도를 상일동역영어학원 나가주기 때문에상일동역중등수학학원 참고가 되셨으면 하네요!명일점와와학습코칭학원 서울강동교육지원청 등록 제 7641호센트럴점와와학습코칭학원 광주하남교육지원청 등록 제1894호,2024.10.31.
476226236,4762262362,동 주변 사는데여 애들 다 고덕으로 가요 상일동에서 학원 다니는 애를 한 명도 못 봤어요구주이배나 청어람 YCC 이런 데 알아보시는 건 어떨까요 다 고덕이고 애들 많아요,2024.10.23.
476226236,4762262363,동역 말고 고덕 쪽에 학원이 더 많으니 그쪽으로 알아보시는걸 추천드립니다.제가 알기론이삭토스트 고덕점 맞은편 건물 7층에 있는 학원이 소수로 진행하거나 1ㄷ1로 봐준다고 하더라구요.진도 때문에 고민 중이시라면 여기 한 번 찾아보세요탑잉글리쉬매스학원서울특별시 강동구 동남로71길 32 11층 탑잉글리쉬매쓰학원,2024.10.11.
476043695,4760436951,하세요.강동구 지역 정보 카페입니다.비밀공간 천호점온종일다올모먼트파티룸피플파티룸올라띤또파티룸등이 있으니 참고 부탁드립니다.,2024.10.10.
475996116,4759961161,년자만 투숙은 불가합니다,2024.09.29.
475996116,4759961162,님과 함께 친구들이랑 동행하시면됩니다미성년이시면 보호가 필요하다고 보는것인데요친구들 부모님과 같이 의논해보세요예약도 부모님이 해야하거든요~~,2024.09.30.
475929919,4759299191, 기본적으로 주차요금은 내셔야 하는데요4월 초 이렇게 한강공원 이용이 많이 없는 시기에 간혹 무료 운영은 하긴 하더라고요기본적으로는 주말 주차요금이 있습니다!도움 되셨길,2024.09.30.
475903543,4759035431,하세요.강동구 지역 정보 카페입니다.아래와 같이 추천드립니다.제이씨유사우나24면역찜질방오투여성사우나24시보석불가마사우나,2024.09.30.
475888855,4758888551,나가는 출구 마다  버스정류장이 다 있습니다2.어느 방향. 몇번 버스 타는지에 따라서  다릅니다,2024.09.27.
475888855,4758888552,중앙차로정류장서울특별시 강동구 천호대로 1026 가로판매대-15천호역 6번출구 나오면 강동역 방향 버스중앙차로 정류장뒷쪽 중앙차로 한강방향 정류장,2024.09.27.
475888855,4758888553,역에서5번 출구로 나가시면 버스 정류장을 쉽게 찾을 수 있습니다. 5번 출구로 나가시면 바로 앞에 여러 노선이 운행되는 버스 정류장이 위치해 있습니다.,2024.09.27.
475888855,4758888554,역 5번 6번 출구  근처에 버스 중앙차로에 버스 정류장 있습니다,2024.09.27.
475888855,4758888555,는 출구 마다 버스정류장들이 다 있습니다어느 방향  몇번 버스 타고 가는지에 따라 다릅니다,2024.09.27.
475855150,4758551501,아니요  영양성분표시 회사 등등 등록이 되어 있기 때문입니다2.문제가 있다면 소비자 상담실 문의 추천 합니다,2024.09.26.
475855150,4758551502,으로 볼때 정상으로 보입니다...,2024.09.26.
475855150,4758551503,으로 보이는데요~,2024.10.16.
475853963,4758539631,을 경유하여 김포시까지 연장 됩니다아직 정확한 역사은 결정 되지 않은 상태입니다,2024.09.26.
475851278,4758512781,…가방챙기실 필요가 없습니다.출산하면 나오는 분비물 패드도 다 병원에서 준비해줍니다. 저도 필요할까봐 구매해서 챙겨갔지만 결국 개봉도 안해서 중고마켓행이었네요 ㅎㅎ그외 세면도구  갈아입을 속옷 정도…배넷도 사실 챙길 필요가 없어요. 병원에서 기본으로 다 주고 이불도 줍니다.전 겨울에 출산했어서 겨울이불로 받았네요 ㅎㅎ이건 조리원 가도 똑같아서 산모 분 여벌옷  속옷  세면도구가 주에요.,2024.09.26.
475847652,4758476521, 전부터 가능합니다,2024.09.26.
475758823,4757588231,역  9번 출구  앞에서  잠실역 가는 노선 입니다341341130-3  버스 이용 합니다,2024.09.24.
475758823,4757588232,역 9번출구 에서 3411번 341번 승차,2024.09.24.
475756048,4757560481,하세요.강동구 생활 정보 카페입니다.하강맘 카페내에 글 올리셔서회원들의 도움 받으시면좋으실 것 같습니다!,2024.09.26.
475716138,4757161381,다,2024.09.23.
475716138,4757161382, 됩니다,2024.09.23.
475579470,4755794701,역 인근 거주로는 좋습니다말씀하신대로 지하철역이랑 제법 규모있는 성심병원도 가깝구요조금만 걸어가시면 천호역이 가까운데 번화가라 심심하지 않게 즐기실 수도 있구요강동역은 마천행이나 하남검단산행 가리지 않고 편하게 탑승 가능하시기 때문에 강동역 좋습니다천호역에서 조금만 더 가시면 한강공원도 가깝습니다버스타고 15분 정도만 가시면 올림픽공원도 가까워서 이용하실 만한 편의공간도 많아요서울 외곽 치고는 쾌적한 환경구성에 평지 위주라(강동역은 조금 경사 있지만요) 진자 살기에는 추천입니다도움 되셨길,2024.09.30.
475496003,4754960031,네 좋습니다  단짠 단짠 감칠맛이 좋습니다2.또는 보쌈. 수육  김치  등등 추천 합니다,2024.09.19.
475496003,4754960032, 솜씨가 있으신 분인가 보다^^ 간장제육 은근히 어려워요. 제육 두루치기도 맛있답니다 .오늘 저녁 반찬은 제육이네요,2024.09.19.
475536796,4755367961,하세요저도 치질로 고생한적이 있어서요 혹시 수술이 필요하신가요?아니면 건강검진의 목적인지는 잘 모르겠네요강동쪽은 저도 잘 몰라서 검색해보니 괜찮은곳인듯 해서 추천해 드립니다문의해 보시기 바랍니다https://www.colon.co.kr/강동서울대장항문외과강동서울대장항문외과 인터넷 의료상담은 항상 24시간 열려있습니다. 365일 성심성의로 진료를 하여 의료진  그 가족  외국인 뿐만 아니라 대장항문 전문가들도 직접 치료 받기 위해 오는 검증되고 입증된 전문의료기관 입니다. 30년 동안 한자리에서 항상 신 의료기술을 접목시켜 지속 성장 발전 하는 전문의료기관입니다. 강동서울대장항문외과 인터넷 의료상담은 항상 24시간 열려있습니다. 365일 성심성의로 진료를 하여 의료진  그 가족  외국인 뿐만 아니라 대장항문 전문가들도 직접 치료 받...www.colon.co.kr,2024.09.19.
475412508,4754125081,비는 평균 평당 500-900만원  사이라 보면 됩니다.  공사비는  공사여건  구조방식  건물마감재 수준   설비 수준 등에 따라 차이가 납니다.공사비 외에   설계비  감리비  공과금  기존주택 철거비와 해체감리비 등이 추가됩니다. 이런 제반 업무를 조언  컨설팅할 전문가가 있으면   보다 쉽게 빨리  업무를 진행할 수 있습니다.,2024.09.16.
475412508,4754125082, 챗gtp로 예측한 것 입니다. 참고하세요현재 단독주택을 허물고 5층 빌라를 짓는 데 드는 비용은 여러 요인에 따라 달라질 수 있습니다.아래는 주요 요소별 대략적인 비용입니다지역– 건축 비용은 지역에 따라 크게 달라지며  도시 지역일수록 비용이 더 높아질 수 있습니다.철거 비용– 40평짜리 집을 철거하고 잔해를 처리하는 데 드는 비용은 대략 500만 원에서1 500만 원 정도 예상할 수 있습니다. 이는 현장 조건과 지역 규정에 따라 차이가 날 수 있습니다.건축 비용– 5층 빌라 건축 비용은 평당 대략 80만 원에서 150만 원 정도로 계산할 수 있습니다.40평 주택에 5층을 지을 경우  전체 면적은 약 200평이 되므로대략 1억 6천만 원에서 3억 원 정도가 예상됩니다.이 금액은 사용 자재  설계  마감 재료에 따라 변동될 수 있습니다.설계 및 인허가 비용– 건축 설계  인허가  세금 등 추가 비용이 있으며 이는 총 공사비의 약 10~15% 정도를 더 추가로 고려해야 합니다.기타 비용– 인테리어  전기·수도 등 설치  주차장 조성 등 추가적인 비용도 발생할 수 있습니다.종합적으로는 약 2억 원에서 4억 원 정도  혹은 그 이상이 될 수 있으며 정확한 금액은 설계 및 현장 조건에 따라 달라질 수 있습니다.지역의 건축업체나 건축가와 상의해 구체적인 견적을 받아보는 것이 좋습니다.,2024.09.16.
475412508,4754125083,사 사무실에 가서 상담을 받으면 정확하게 알수가 있습니다...,2024.09.16.
475210559,4752105591,페 가입하셔서 여쭤 보심이 더 정확할 듯 싶습니다,2024.09.11.
475127149,4751271491,"하세요.가성비좋고 신축 프리미엄 고시원 이곳을 추천드립니다방구하는 어플  독립생활이라는 앱을 통해 확인해봤어요.더 싸고 더 좋은 방이 많이 있으니 아래 링크나 어플을 통해 확인보세요~링크 : www.dokliplife.co.kr혹은 구글 플레이스토어휴대폰 어플 독립생활 앱을 통해 방을 손쉽게 구할 수 있는데 고시원 검색  이용정보  방 시설 사진을 확인하고 비대면 룸투어부터 온라인 예약 및 결제까지 한번에 진행 가능합니다.비대면 방보기 VR룸투어는 언제 어디서든 휴대폰에서 실시간 방을 볼 수 있습니다. 강추 합니다.독립생활은 원하시는 지역/대학/역세권/여성전용등으로 고시원  고시텔  원룸텔  쉐어하우스를 검색하고 원하는 금액대별로 찾아서 방을 둘러보고 월세  보증금 확인 후 방 예약  결제까지 한번에 가능합니다.한달 단위 계약이라 부담없이 지낼 수 있고 다른 고시원으로 이동하는데 전혀 부담이 없습니다.5  10만원 고시원별 할인쿠폰과 신규가입 할인과 후기작성 쿠폰으로 좋은 방을 싸게 할인받을 뿐 아니라 "" 한달 단기거주 "" 계약도 가능하여 부담없이 생활 할 수 있습니다.신용카드결제  카카오페이  네이버페이 결제도 가능합니다.",2024.09.10.
475109640,4751096401,돗자리 까는 곳은 많습니다웬만한 광나루 한강공원 잔디 있는 곳에 돗자리를 깔 수 있다고 보시면 되구요단  그늘막은 지역이 제한되어 있으니 참고해주세요돗자리 갖고 나오시는 분들 많고요광진교에서 암사 방면으로 편의점 근처아 드론 한강공원 근처에 많이 계시더라고요참고하시면 될듯요도움 되셨길,2024.09.27.
475107099,4751070991, 다래끼가 잘 생기는 편이라서강동구청역안과 혜민 안과병원으로 가서 진료받아요.간지러워도 절대 손으로 만지면 안돼요..증상이 더 심해질 수 있으니까 최대한 빨리안과가서 진료 받아보세요~,2024.09.09.
475087187,4750871871,네 맞습니다  어떤사람은 조용한  지방을 좋아하는 사람이 있고2. 서울이 가장 좋다고  하는 사람도 있기 때문 입니다3.기타  대중교통. 문화시설. 여가시설. 의료시설.  복지시설  등등 때문입니다,2024.09.08.
475087187,4750871872, 시설이 많고 해서 서울에 가끔 오는 사람들이 대부분 비슷6개월에서 1년 정도 살면 집에 가고 싶어지는 경우가 많음,2024.09.09.
475059288,4750592881,초밥집 사장님께 사정을 미리 말씀드리세요그러면 알바일자를 조정해주실것 같습니다...,2024.09.08.
475059288,4750592882,일은 야자 신청해서 금요일은 알바 불가능하다고 말해주세요.제가 드린 답변이 도움되셨길 바래요-말씀하신 질문 :제가 고1인데 초밥집 알바를 지원했어요근데 제가 월화수목금을 선택하고싶은데금요일은 야자를 신청해서야자 안하면 저희반쌤한테 죽을수도잇어서금요일은 못할거같다고 해야하는데허락해주실까요?,2024.09.08.
475059288,4750592883, 신청 시 금요일은 불가능하다고 말하세요.도움되는 답변이 되셨길 바래요-질문정보 :제가 고1인데 초밥집 알바를 지원했어요근데 제가 월화수목금을 선택하고싶은데금요일은 야자를 신청해서야자 안하면 저희반쌤한테 죽을수도잇어서금요일은 못할거같다고 해야하는데허락해주실까요?,2024.09.08.
475021400,4750214001, 잘못했네요.,2024.09.09.
475021400,4750214002,하세요.말씀하신 표현은 비속어로대부분 불쾌하게 느낄 수 있는 말이라가급적 사용하지 않으시는게 좋습니다.,2024.09.09.
